vehicle_number,total_violations,unique_hotspots,unique_junctions,first_seen,last_seen,vehicle_type_mode,approved_violations,active_days,repeat_violation_flag,chronic_offender_flag,approval_rate
FKN00GL111116,10,1,1,2023-11-17 04:21:46+00:00,2023-12-21 04:06:46+00:00,SCOOTER,8,8,1,1,0.79999999992
FKN00GL14137,10,1,1,2023-11-15 02:49:46+00:00,2024-01-24 04:40:46+00:00,SCOOTER,8,9,1,1,0.79999999992
FKN00GL2814,10,1,1,2023-11-11 03:12:46+00:00,2024-02-01 06:07:46+00:00,SCOOTER,8,7,1,1,0.79999999992
FKN00GL57836,10,1,1,2023-12-17 00:18:46+00:00,2024-04-05 04:02:46+00:00,SCOOTER,8,8,1,1,0.79999999992
FKN00GL130678,10,2,2,2023-11-17 21:09:46+00:00,2024-01-05 22:03:46+00:00,SCOOTER,7,7,1,1,0.69999999993
FKN00GL17033,10,2,2,2023-11-14 02:23:46+00:00,2024-03-30 02:15:46+00:00,CAR,7,9,1,1,0.69999999993
FKN00GL2529,10,2,2,2023-11-11 01:53:46+00:00,2023-12-01 05:40:46+00:00,SCOOTER,7,9,1,1,0.69999999993
FKN00GL112039,10,1,1,2023-11-23 01:37:46+00:00,2024-01-10 23:12:46+00:00,SCOOTER,7,8,1,1,0.69999999993
FKN00GL114154,10,1,1,2023-11-15 23:42:46+00:00,2024-01-04 02:12:46+00:00,MOTOR CYCLE,7,8,1,1,0.69999999993
FKN00GL11683,10,1,1,2024-01-04 00:48:46+00:00,2024-02-26 22:29:46+00:00,SCOOTER,7,9,1,1,0.69999999993
FKN00GL1554,10,1,1,2023-11-13 22:06:46+00:00,2024-01-24 23:38:46+00:00,SCOOTER,7,10,1,1,0.69999999993
FKN00GL17864,10,1,1,2023-11-15 02:20:46+00:00,2024-01-12 05:11:46+00:00,SCOOTER,7,7,1,1,0.69999999993
FKN00GL19391,10,1,1,2023-11-23 22:49:46+00:00,2024-03-13 02:54:46+00:00,SCOOTER,7,10,1,1,0.69999999993
FKN00GL34270,10,1,1,2023-11-15 00:23:46+00:00,2024-03-25 23:30:46+00:00,MOPED,7,8,1,1,0.69999999993
FKN00GL68024,10,1,1,2023-11-30 21:46:46+00:00,2024-03-05 06:29:46+00:00,JEEP,7,10,1,1,0.69999999993
FKN00GL76597,10,1,1,2023-12-20 04:30:46+00:00,2024-03-04 23:41:46+00:00,SCOOTER,7,10,1,1,0.69999999993
FKN00GL47241,10,4,4,2023-11-22 00:18:46+00:00,2024-04-02 05:16:46+00:00,PASSENGER AUTO,6,10,1,1,0.59999999994
FKN00GL113147,10,2,2,2023-11-11 03:09:46+00:00,2024-01-14 06:09:46+00:00,SCOOTER,6,8,1,1,0.59999999994
FKN00GL124679,10,2,2,2023-11-12 21:00:46+00:00,2024-03-24 02:37:46+00:00,LGV,6,9,1,1,0.59999999994
FKN00GL19244,10,2,1,2023-11-28 21:02:46+00:00,2024-04-06 02:56:46+00:00,CAR,6,10,1,1,0.59999999994
FKN00GL63132,10,2,2,2023-11-15 00:44:46+00:00,2024-03-01 06:19:46+00:00,SCOOTER,6,7,1,1,0.59999999994
FKN00GL78166,10,2,2,2023-11-14 21:19:46+00:00,2024-03-05 23:19:46+00:00,SCOOTER,6,10,1,1,0.59999999994
FKN00GL9585,10,2,1,2023-12-31 00:19:46+00:00,2024-03-15 05:56:46+00:00,CAR,6,7,1,1,0.59999999994
FKN00GL9928,10,2,2,2023-12-01 00:55:46+00:00,2024-03-03 04:19:46+00:00,SCOOTER,6,10,1,1,0.59999999994
FKN00GL100140,10,1,1,2024-01-09 04:04:46+00:00,2024-03-15 23:08:46+00:00,CAR,6,7,1,1,0.59999999994
FKN00GL102163,10,1,1,2023-11-16 00:50:46+00:00,2024-01-24 21:54:46+00:00,SCOOTER,6,8,1,1,0.59999999994
FKN00GL107929,10,1,1,2023-12-02 06:05:46+00:00,2024-03-27 02:47:46+00:00,MOTOR CYCLE,6,10,1,1,0.59999999994
FKN00GL129258,10,1,1,2023-11-11 00:52:46+00:00,2024-01-08 02:26:46+00:00,PASSENGER AUTO,6,9,1,1,0.59999999994
FKN00GL20861,10,1,1,2023-11-15 23:13:46+00:00,2024-03-11 22:50:46+00:00,SCOOTER,6,10,1,1,0.59999999994
FKN00GL21421,10,1,1,2023-11-13 03:49:46+00:00,2024-03-30 04:15:46+00:00,SCOOTER,6,10,1,1,0.59999999994
FKN00GL27678,10,1,1,2023-11-28 00:06:46+00:00,2024-02-07 04:06:46+00:00,SCOOTER,6,7,1,1,0.59999999994
FKN00GL27776,10,1,1,2024-01-07 05:29:46+00:00,2024-02-18 23:38:46+00:00,MOTOR CYCLE,6,7,1,1,0.59999999994
FKN00GL2994,10,1,1,2024-01-04 02:08:46+00:00,2024-02-13 21:19:46+00:00,SCOOTER,6,9,1,1,0.59999999994
FKN00GL49748,10,1,1,2023-11-19 05:36:46+00:00,2024-04-04 04:02:46+00:00,MOTOR CYCLE,6,8,1,1,0.59999999994
FKN00GL68630,10,1,1,2023-11-16 23:51:46+00:00,2024-03-29 06:48:46+00:00,SCOOTER,6,10,1,1,0.59999999994
FKN00GL15108,10,4,4,2023-11-17 03:43:46+00:00,2024-04-02 02:36:46+00:00,LGV,5,10,1,1,0.49999999995
FKN00GL146295,10,2,1,2023-12-12 00:51:46+00:00,2024-01-24 01:39:46+00:00,CAR,5,10,1,1,0.49999999995
FKN00GL26744,10,2,2,2023-11-15 06:37:46+00:00,2024-02-14 04:23:46+00:00,CAR,5,10,1,1,0.49999999995
FKN00GL4647,10,2,2,2023-11-17 04:28:46+00:00,2024-02-01 22:54:46+00:00,SCOOTER,5,10,1,1,0.49999999995
FKN00GL52584,10,2,1,2023-11-16 05:44:46+00:00,2024-02-25 00:05:46+00:00,MOTOR CYCLE,5,7,1,1,0.49999999995
FKN00GL7249,10,2,2,2023-11-15 00:22:46+00:00,2024-02-26 08:13:46+00:00,CAR,5,9,1,1,0.49999999995
FKN00GL1006,10,1,1,2024-01-17 00:51:46+00:00,2024-03-15 00:03:46+00:00,MOTOR CYCLE,5,10,1,1,0.49999999995
FKN00GL105098,10,1,1,2023-11-13 22:08:46+00:00,2024-01-17 22:41:46+00:00,SCOOTER,5,10,1,1,0.49999999995
FKN00GL11697,10,1,1,2023-11-13 01:59:46+00:00,2024-03-10 02:51:46+00:00,MOTOR CYCLE,5,9,1,1,0.49999999995
FKN00GL13278,10,1,1,2023-11-15 05:53:46+00:00,2024-04-08 00:44:46+00:00,CAR,5,9,1,1,0.49999999995
FKN00GL13758,10,1,1,2024-01-09 00:14:46+00:00,2024-02-10 08:07:46+00:00,SCOOTER,5,9,1,1,0.49999999995
FKN00GL17326,10,1,1,2023-11-15 02:50:46+00:00,2024-03-20 04:18:46+00:00,SCOOTER,5,10,1,1,0.49999999995
FKN00GL17653,10,1,1,2024-01-12 06:20:46+00:00,2024-04-07 00:29:46+00:00,SCOOTER,5,10,1,1,0.49999999995
FKN00GL26701,10,1,1,2023-11-25 04:42:46+00:00,2024-03-31 03:46:46+00:00,MOTOR CYCLE,5,8,1,1,0.49999999995
FKN00GL32589,10,1,1,2023-11-19 00:21:46+00:00,2024-04-04 19:46:46+00:00,SCOOTER,5,9,1,1,0.49999999995
FKN00GL3700,10,1,1,2023-12-31 02:58:46+00:00,2024-03-30 23:13:46+00:00,SCOOTER,5,9,1,1,0.49999999995
FKN00GL40276,10,1,1,2023-11-15 07:10:46+00:00,2024-03-01 23:56:46+00:00,MOTOR CYCLE,5,7,1,1,0.49999999995
FKN00GL4457,10,1,1,2023-11-14 21:37:46+00:00,2024-01-28 22:43:46+00:00,LGV,5,10,1,1,0.49999999995
FKN00GL4966,10,1,1,2023-11-15 23:08:46+00:00,2024-03-11 23:27:46+00:00,SCOOTER,5,9,1,1,0.49999999995
FKN00GL9410,10,1,1,2023-12-13 05:27:46+00:00,2024-03-29 23:24:46+00:00,SCOOTER,5,8,1,1,0.49999999995
FKN00GL8473,10,3,3,2023-11-16 08:44:46+00:00,2024-03-31 01:09:46+00:00,PASSENGER AUTO,4,10,1,1,0.39999999996
FKN00GL103295,10,2,2,2023-12-07 00:54:46+00:00,2024-01-10 05:43:46+00:00,CAR,4,7,1,1,0.39999999996
FKN00GL119987,10,2,2,2023-11-21 00:38:46+00:00,2023-12-26 21:51:46+00:00,SCOOTER,4,9,1,1,0.39999999996
FKN00GL14054,10,2,2,2023-12-05 23:09:46+00:00,2024-02-29 06:16:46+00:00,SCOOTER,4,8,1,1,0.39999999996
FKN00GL26782,10,2,2,2023-11-27 21:51:46+00:00,2024-03-13 03:00:46+00:00,MOTOR CYCLE,4,8,1,1,0.39999999996
FKN00GL36475,10,2,2,2023-12-02 02:33:46+00:00,2024-03-05 23:20:46+00:00,SCOOTER,4,10,1,1,0.39999999996
FKN00GL1023,10,1,1,2023-12-22 00:29:46+00:00,2024-03-22 02:27:46+00:00,MOTOR CYCLE,4,9,1,1,0.39999999996
FKN00GL15025,10,1,1,2023-11-15 05:08:46+00:00,2024-02-29 05:19:46+00:00,MOTOR CYCLE,4,10,1,1,0.39999999996
FKN00GL17022,10,1,1,2023-11-15 03:48:46+00:00,2024-02-21 00:19:46+00:00,MOTOR CYCLE,4,9,1,1,0.39999999996
FKN00GL19613,10,1,1,2023-11-16 23:51:46+00:00,2024-03-30 23:10:46+00:00,PASSENGER AUTO,4,8,1,1,0.39999999996
FKN00GL22486,10,1,1,2023-11-28 08:56:46+00:00,2024-02-03 00:31:46+00:00,MOTOR CYCLE,4,9,1,1,0.39999999996
FKN00GL25809,10,1,1,2024-01-12 00:36:46+00:00,2024-03-21 23:03:46+00:00,SCOOTER,4,10,1,1,0.39999999996
FKN00GL32531,10,1,1,2023-11-15 04:42:46+00:00,2024-03-17 02:53:46+00:00,SCOOTER,4,8,1,1,0.39999999996
FKN00GL33638,10,1,1,2024-01-02 23:49:46+00:00,2024-03-18 23:39:46+00:00,SCOOTER,4,10,1,1,0.39999999996
FKN00GL41988,10,1,1,2023-11-18 04:50:46+00:00,2024-04-03 23:15:46+00:00,SCOOTER,4,10,1,1,0.39999999996
FKN00GL49627,10,1,1,2023-12-15 23:35:46+00:00,2024-03-11 22:49:46+00:00,SCOOTER,4,10,1,1,0.39999999996
FKN00GL66324,10,1,1,2023-11-11 03:13:46+00:00,2024-03-27 04:41:46+00:00,SCOOTER,4,9,1,1,0.39999999996
FKN00GL66423,10,1,1,2023-12-13 22:32:46+00:00,2024-03-19 23:29:46+00:00,MOTOR CYCLE,4,10,1,1,0.39999999996
FKN00GL71645,10,1,1,2023-11-15 02:27:46+00:00,2024-03-02 00:13:46+00:00,SCOOTER,4,6,1,1,0.39999999996
FKN00GL9403,10,1,1,2023-12-09 03:30:46+00:00,2024-03-29 23:50:46+00:00,SCOOTER,4,10,1,1,0.39999999996
FKN00GL27389,10,4,4,2023-12-27 19:31:46+00:00,2024-04-04 19:36:46+00:00,CAR,3,10,1,1,0.29999999997
FKN00GL5130,10,2,1,2023-11-22 21:57:46+00:00,2024-03-28 06:31:46+00:00,PASSENGER AUTO,3,10,1,1,0.29999999997
FKN00GL51996,10,2,2,2023-11-25 05:29:46+00:00,2024-03-03 23:43:46+00:00,MOTOR CYCLE,3,8,1,1,0.29999999997
FKN00GL75598,10,2,1,2023-11-22 05:51:46+00:00,2024-03-07 05:07:46+00:00,CAR,3,9,1,1,0.29999999997
FKN00GL11162,10,1,1,2024-01-19 00:03:46+00:00,2024-04-03 03:17:46+00:00,SCOOTER,3,8,1,1,0.29999999997
FKN00GL11821,10,1,1,2023-11-11 20:01:46+00:00,2024-03-27 19:03:46+00:00,SCOOTER,3,10,1,1,0.29999999997
FKN00GL1231,10,1,1,2024-01-05 22:25:46+00:00,2024-03-22 02:40:46+00:00,SCOOTER,3,10,1,1,0.29999999997
FKN00GL1903,10,1,1,2023-11-17 22:44:46+00:00,2024-04-04 05:06:46+00:00,SCOOTER,3,10,1,1,0.29999999997
FKN00GL22531,10,1,1,2023-11-16 00:05:46+00:00,2024-03-28 07:48:46+00:00,MOTOR CYCLE,3,10,1,1,0.29999999997
FKN00GL23438,10,1,1,2023-11-15 02:53:46+00:00,2024-03-15 00:00:46+00:00,MOTOR CYCLE,3,9,1,1,0.29999999997
FKN00GL24742,10,1,1,2023-12-17 04:01:46+00:00,2024-03-27 07:35:46+00:00,PASSENGER AUTO,3,8,1,1,0.29999999997
FKN00GL2739,10,1,1,2023-12-13 02:33:46+00:00,2024-03-21 05:14:46+00:00,SCOOTER,3,8,1,1,0.29999999997
FKN00GL33657,10,1,1,2023-11-15 23:39:46+00:00,2024-04-01 22:00:46+00:00,SCOOTER,3,10,1,1,0.29999999997
FKN00GL3495,10,1,1,2023-11-15 23:12:46+00:00,2024-03-28 03:41:46+00:00,SCOOTER,3,9,1,1,0.29999999997
FKN00GL49982,10,1,1,2023-11-14 06:59:46+00:00,2024-03-06 04:17:46+00:00,SCOOTER,3,8,1,1,0.29999999997
FKN00GL5033,10,1,1,2024-01-01 19:38:46+00:00,2024-03-28 04:02:46+00:00,SCOOTER,3,9,1,1,0.29999999997
FKN00GL5097,10,1,1,2023-11-15 22:52:46+00:00,2024-04-07 05:10:46+00:00,PASSENGER AUTO,3,9,1,1,0.29999999997
FKN00GL54207,10,1,1,2024-01-11 23:37:46+00:00,2024-02-22 03:00:46+00:00,MOTOR CYCLE,3,4,1,1,0.29999999997
FKN00GL5624,10,1,1,2023-12-07 03:33:46+00:00,2024-03-12 23:04:46+00:00,SCOOTER,3,10,1,1,0.29999999997
FKN00GL57738,10,1,1,2023-11-15 23:09:46+00:00,2024-03-22 03:14:46+00:00,SCOOTER,3,9,1,1,0.29999999997
FKN00GL65244,10,1,1,2023-11-24 03:20:46+00:00,2024-04-07 05:17:46+00:00,SCOOTER,3,9,1,1,0.29999999997
FKN00GL71521,10,1,1,2023-12-22 00:53:46+00:00,2024-03-11 23:44:46+00:00,SCOOTER,3,9,1,1,0.29999999997
FKN00GL7339,10,1,1,2024-01-01 19:48:46+00:00,2024-03-18 21:19:46+00:00,MOTOR CYCLE,3,8,1,1,0.29999999997
FKN00GL10551,10,4,3,2024-01-08 06:33:46+00:00,2024-03-15 05:55:46+00:00,CAR,2,8,1,1,0.19999999998
FKN00GL1782,10,2,2,2023-11-10 05:35:46+00:00,2024-03-26 21:28:46+00:00,PASSENGER AUTO,2,9,1,1,0.19999999998
FKN00GL21998,10,2,2,2023-12-01 00:53:46+00:00,2024-03-28 21:44:46+00:00,SCOOTER,2,10,1,1,0.19999999998
FKN00GL23454,10,2,1,2023-11-15 01:59:46+00:00,2024-02-06 23:22:46+00:00,MAXI-CAB,2,3,1,1,0.19999999998
FKN00GL4832,10,2,2,2023-12-09 04:37:46+00:00,2024-03-16 03:20:46+00:00,SCOOTER,2,10,1,1,0.19999999998
FKN00GL8340,10,2,1,2023-11-28 08:18:46+00:00,2024-03-23 19:19:46+00:00,MAXI-CAB,2,9,1,1,0.19999999998
FKN00GL0371,10,1,1,2024-02-05 23:48:46+00:00,2024-03-15 22:41:46+00:00,SCOOTER,2,8,1,1,0.19999999998
FKN00GL11021,10,1,1,2024-01-18 20:45:46+00:00,2024-02-19 21:35:46+00:00,CAR,2,10,1,1,0.19999999998
FKN00GL12647,10,1,1,2023-11-12 06:16:46+00:00,2024-04-01 04:28:46+00:00,PASSENGER AUTO,2,8,1,1,0.19999999998
FKN00GL17314,10,1,1,2023-12-13 22:22:46+00:00,2024-03-12 21:30:46+00:00,SCOOTER,2,7,1,1,0.19999999998
FKN00GL17859,10,1,1,2023-12-21 04:28:46+00:00,2024-02-28 06:50:46+00:00,SCOOTER,2,8,1,1,0.19999999998
FKN00GL18160,10,1,1,2024-01-01 19:39:46+00:00,2024-02-05 22:03:46+00:00,MOTOR CYCLE,2,10,1,1,0.19999999998
FKN00GL18562,10,1,1,2023-11-20 06:59:46+00:00,2024-03-31 01:26:46+00:00,LGV,2,10,1,1,0.19999999998
FKN00GL1901,10,1,1,2024-02-10 05:45:46+00:00,2024-04-03 04:46:46+00:00,SCOOTER,2,10,1,1,0.19999999998
FKN00GL19046,10,1,1,2024-01-01 20:44:46+00:00,2024-02-28 22:13:46+00:00,SCOOTER,2,6,1,1,0.19999999998
FKN00GL22270,10,1,1,2023-12-19 04:33:46+00:00,2024-03-27 05:25:46+00:00,LGV,2,10,1,1,0.19999999998
FKN00GL22303,10,1,1,2023-12-10 19:28:46+00:00,2024-03-14 20:48:46+00:00,PRIVATE BUS,2,10,1,1,0.19999999998
FKN00GL22368,10,1,1,2023-11-17 04:27:46+00:00,2024-03-29 23:42:46+00:00,SCOOTER,2,10,1,1,0.19999999998
FKN00GL2455,10,1,1,2024-01-11 22:18:46+00:00,2024-03-26 20:55:46+00:00,MOTOR CYCLE,2,10,1,1,0.19999999998
FKN00GL26378,10,1,1,2023-11-14 03:00:46+00:00,2024-04-07 04:28:46+00:00,SCOOTER,2,8,1,1,0.19999999998
FKN00GL32678,10,1,1,2023-11-18 04:52:46+00:00,2024-03-17 03:35:46+00:00,SCOOTER,2,8,1,1,0.19999999998
FKN00GL35596,10,1,1,2023-12-09 05:15:46+00:00,2024-04-06 05:15:46+00:00,SCOOTER,2,10,1,1,0.19999999998
FKN00GL4690,10,1,1,2024-03-03 22:13:46+00:00,2024-03-20 20:47:46+00:00,GOODS AUTO,2,10,1,1,0.19999999998
FKN00GL48126,10,1,1,2023-12-14 00:51:46+00:00,2024-03-24 05:20:46+00:00,SCOOTER,2,10,1,1,0.19999999998
FKN00GL7386,10,1,1,2023-11-15 02:49:46+00:00,2024-02-23 23:31:46+00:00,SCOOTER,2,10,1,1,0.19999999998
FKN00GL7806,10,1,1,2023-12-30 23:31:46+00:00,2024-04-05 22:19:46+00:00,SCOOTER,2,9,1,1,0.19999999998
FKN00GL1115,10,3,3,2024-02-26 00:52:46+00:00,2024-04-07 03:03:46+00:00,CAR,1,9,1,1,0.09999999999
FKN00GL52826,10,3,1,2023-12-20 05:55:46+00:00,2024-03-30 05:00:46+00:00,SCOOTER,1,7,1,1,0.09999999999
FKN00GL9599,10,3,3,2024-01-11 20:10:46+00:00,2024-04-07 22:09:46+00:00,GOODS AUTO,1,10,1,1,0.09999999999
FKN00GL0476,10,2,2,2024-01-14 21:47:46+00:00,2024-03-27 03:10:46+00:00,SCOOTER,1,7,1,1,0.09999999999
FKN00GL24805,10,2,2,2023-11-11 06:24:46+00:00,2024-04-04 09:00:46+00:00,PASSENGER AUTO,1,8,1,1,0.09999999999
FKN00GL45736,10,2,2,2023-11-23 20:02:46+00:00,2024-03-05 19:38:46+00:00,CAR,1,8,1,1,0.09999999999
FKN00GL8796,10,2,1,2023-12-22 03:09:46+00:00,2024-03-09 05:00:46+00:00,PASSENGER AUTO,1,6,1,1,0.09999999999
FKN00GL0980,10,1,1,2024-02-17 05:17:46+00:00,2024-03-28 03:17:46+00:00,MOTOR CYCLE,1,5,1,1,0.09999999999
FKN00GL16868,10,1,1,2023-12-16 06:56:46+00:00,2024-03-31 07:13:46+00:00,MOTOR CYCLE,1,10,1,1,0.09999999999
FKN00GL20826,10,1,1,2024-01-02 05:23:46+00:00,2024-03-22 02:41:46+00:00,SCOOTER,1,9,1,1,0.09999999999
FKN00GL28190,10,1,1,2023-12-14 22:04:46+00:00,2024-04-03 21:10:46+00:00,SCOOTER,1,10,1,1,0.09999999999
FKN00GL5040,10,1,1,2023-11-28 02:55:46+00:00,2024-03-28 04:02:46+00:00,SCOOTER,1,9,1,1,0.09999999999
FKN00GL54383,10,1,1,2023-11-21 03:52:46+00:00,2024-03-02 04:41:46+00:00,SCOOTER,1,5,1,1,0.09999999999
FKN00GL8569,10,1,1,2023-11-11 01:55:46+00:00,2024-03-30 21:39:46+00:00,PASSENGER AUTO,1,8,1,1,0.09999999999
FKN00GL94423,10,1,1,2023-11-25 04:36:46+00:00,2024-03-19 08:31:46+00:00,MOTOR CYCLE,1,5,1,1,0.09999999999
FKN00GL53598,10,3,1,2024-02-21 21:20:46+00:00,2024-03-08 21:31:46+00:00,CAR,0,10,1,1,0.0
FKN00GL34223,10,2,2,2024-02-28 22:13:46+00:00,2024-03-31 04:07:46+00:00,SCOOTER,0,3,1,1,0.0
FKN00GL41676,10,2,1,2024-02-05 23:24:46+00:00,2024-03-18 21:58:46+00:00,CAR,0,6,1,1,0.0
FKN00GL54478,10,2,2,2023-12-30 08:51:46+00:00,2024-02-22 05:02:46+00:00,CAR,0,2,1,1,0.0
FKN00GL6529,10,2,2,2023-12-28 23:10:46+00:00,2024-02-14 05:11:46+00:00,SCOOTER,0,8,1,1,0.0
FKN00GL20165,10,1,1,2024-02-05 02:40:46+00:00,2024-02-05 05:51:46+00:00,SCOOTER,0,1,1,1,0.0
FKN00GL21950,10,1,1,2024-02-06 05:08:46+00:00,2024-02-10 06:39:46+00:00,MOTOR CYCLE,0,5,1,1,0.0
FKN00GL22527,10,1,1,2024-01-10 01:31:46+00:00,2024-02-28 22:13:46+00:00,MOTOR CYCLE,0,3,1,1,0.0
FKN00GL33447,10,1,1,2023-12-16 06:24:46+00:00,2024-02-13 07:30:46+00:00,SCOOTER,0,3,1,1,0.0
FKN00GL54028,10,1,1,2023-12-04 01:46:46+00:00,2023-12-04 01:46:46+00:00,SCOOTER,0,1,1,1,0.0
FKN00GL54080,10,1,1,2023-12-04 01:46:46+00:00,2023-12-04 01:46:46+00:00,SCOOTER,0,1,1,1,0.0
FKN00GL56664,10,1,1,2024-02-23 07:11:46+00:00,2024-02-23 07:11:46+00:00,CAR,0,1,1,1,0.0
FKN00GL5683,10,1,1,2024-02-02 00:50:46+00:00,2024-03-30 23:55:46+00:00,PASSENGER AUTO,0,10,1,1,0.0
FKN00GL57049,10,1,1,2024-04-05 02:31:46+00:00,2024-04-07 04:25:46+00:00,CAR,0,2,1,1,0.0
FKN00GL5910,10,1,1,2024-02-04 05:04:46+00:00,2024-04-05 20:37:46+00:00,MOTOR CYCLE,0,7,1,1,0.0
FKN00GL72173,10,1,1,2024-01-04 03:00:46+00:00,2024-03-15 05:47:46+00:00,SCOOTER,0,6,1,1,0.0
FKN00GL111010,9,2,2,2023-11-16 04:13:46+00:00,2023-12-24 02:51:46+00:00,SCOOTER,9,9,1,1,0.9999999998888889
FKN00GL0744,9,1,1,2023-11-15 00:57:46+00:00,2024-01-12 06:22:46+00:00,SCOOTER,9,7,1,1,0.9999999998888889
FKN00GL0794,9,1,1,2023-11-28 03:38:46+00:00,2023-12-29 03:01:46+00:00,CAR,9,7,1,1,0.9999999998888889
FKN00GL14433,9,3,3,2023-12-09 02:45:46+00:00,2024-01-24 02:29:46+00:00,MOTOR CYCLE,8,8,1,1,0.8888888887901234
FKN00GL118484,9,1,1,2023-11-14 02:59:46+00:00,2023-12-19 02:32:46+00:00,SCOOTER,8,6,1,1,0.8888888887901234
FKN00GL122701,9,1,1,2023-11-11 04:35:46+00:00,2023-11-27 06:13:46+00:00,CAR,8,7,1,1,0.8888888887901234
FKN00GL123430,9,1,1,2023-11-12 02:52:46+00:00,2023-11-27 05:31:46+00:00,SCOOTER,8,7,1,1,0.8888888887901234
FKN00GL16342,9,1,1,2023-12-13 02:15:46+00:00,2024-03-06 23:26:46+00:00,SCOOTER,8,8,1,1,0.8888888887901234
FKN00GL90621,9,1,1,2023-11-12 00:18:46+00:00,2024-02-29 23:52:46+00:00,SCOOTER,8,8,1,1,0.8888888887901234
FKN00GL0267,9,3,3,2023-11-16 00:40:46+00:00,2023-12-15 23:32:46+00:00,SCOOTER,7,8,1,1,0.777777777691358
FKN00GL11641,9,3,3,2023-11-21 00:38:46+00:00,2024-01-24 23:45:46+00:00,SCOOTER,7,7,1,1,0.777777777691358
FKN00GL101844,9,2,2,2023-11-14 04:47:46+00:00,2023-12-12 00:57:46+00:00,MOTOR CYCLE,7,7,1,1,0.777777777691358
FKN00GL127897,9,2,2,2023-11-14 21:16:46+00:00,2024-01-02 23:04:46+00:00,SCOOTER,7,9,1,1,0.777777777691358
FKN00GL8209,9,2,2,2023-11-18 06:21:46+00:00,2024-02-03 06:33:46+00:00,SCOOTER,7,6,1,1,0.777777777691358
FKN00GL102126,9,1,1,2023-11-11 06:14:46+00:00,2024-01-01 06:25:46+00:00,SCOOTER,7,8,1,1,0.777777777691358
FKN00GL1569,9,1,1,2023-11-21 21:14:46+00:00,2024-01-24 23:38:46+00:00,SCOOTER,7,9,1,1,0.777777777691358
FKN00GL23130,9,1,1,2023-11-27 21:33:46+00:00,2024-02-22 21:11:46+00:00,MOTOR CYCLE,7,9,1,1,0.777777777691358
FKN00GL9338,9,1,1,2023-11-11 02:03:46+00:00,2024-02-01 02:37:46+00:00,SCOOTER,7,9,1,1,0.777777777691358
FKN00GL21803,9,3,3,2023-11-11 04:11:46+00:00,2024-02-06 05:06:46+00:00,PASSENGER AUTO,6,9,1,1,0.6666666665925925
FKN00GL9197,9,3,3,2023-11-13 05:10:46+00:00,2024-03-14 07:01:46+00:00,MOTOR CYCLE,6,8,1,1,0.6666666665925925
FKN00GL11456,9,2,2,2023-11-15 23:52:46+00:00,2024-03-25 00:39:46+00:00,SCOOTER,6,8,1,1,0.6666666665925925
FKN00GL17393,9,2,2,2023-11-15 02:11:46+00:00,2024-01-20 02:13:46+00:00,SCOOTER,6,9,1,1,0.6666666665925925
FKN00GL60648,9,2,1,2023-11-17 22:09:46+00:00,2024-02-24 21:55:46+00:00,CAR,6,8,1,1,0.6666666665925925
FKN00GL75561,9,2,2,2023-11-14 21:17:46+00:00,2024-01-05 22:04:46+00:00,SCOOTER,6,7,1,1,0.6666666665925925
FKN00GL101897,9,1,1,2023-11-13 22:08:46+00:00,2024-01-24 01:20:46+00:00,SCOOTER,6,9,1,1,0.6666666665925925
FKN00GL125181,9,1,1,2023-11-24 21:39:46+00:00,2023-12-30 02:59:46+00:00,SCOOTER,6,8,1,1,0.6666666665925925
FKN00GL13270,9,1,1,2023-11-17 02:22:46+00:00,2024-02-08 22:31:46+00:00,SCOOTER,6,9,1,1,0.6666666665925925
FKN00GL17371,9,1,1,2023-12-21 03:52:46+00:00,2024-01-24 23:27:46+00:00,SCOOTER,6,9,1,1,0.6666666665925925
FKN00GL41989,9,1,1,2023-11-18 03:33:46+00:00,2024-04-07 03:31:46+00:00,SCOOTER,6,9,1,1,0.6666666665925925
FKN00GL57654,9,1,1,2023-11-17 02:53:46+00:00,2024-03-14 03:05:46+00:00,SCOOTER,6,8,1,1,0.6666666665925925
FKN00GL5846,9,1,1,2023-12-02 01:02:46+00:00,2024-04-01 09:46:46+00:00,SCOOTER,6,9,1,1,0.6666666665925925
FKN00GL73513,9,1,1,2023-11-20 22:39:46+00:00,2024-03-02 23:09:46+00:00,SCOOTER,6,9,1,1,0.6666666665925925
FKN00GL9337,9,1,1,2023-11-15 00:54:46+00:00,2024-02-01 02:37:46+00:00,MOTOR CYCLE,6,7,1,1,0.6666666665925925
FKN00GL44955,9,6,4,2023-11-15 21:33:46+00:00,2024-03-07 23:58:46+00:00,CAR,5,9,1,1,0.5555555554938272
FKN00GL27485,9,4,4,2023-11-10 21:05:46+00:00,2024-03-18 21:18:46+00:00,GOODS AUTO,5,8,1,1,0.5555555554938272
FKN00GL14127,9,3,2,2023-12-05 04:55:46+00:00,2024-01-24 04:45:46+00:00,PASSENGER AUTO,5,8,1,1,0.5555555554938272
FKN00GL16075,9,3,3,2023-11-11 22:26:46+00:00,2024-03-28 22:53:46+00:00,LGV,5,9,1,1,0.5555555554938272
FKN00GL1887,9,3,2,2023-11-20 23:38:46+00:00,2024-02-20 06:13:46+00:00,SCOOTER,5,6,1,1,0.5555555554938272
FKN00GL98967,9,3,3,2023-11-29 05:16:46+00:00,2024-03-21 05:40:46+00:00,PASSENGER AUTO,5,7,1,1,0.5555555554938272
